Horodateur,Have you ever used python?  ,Select what you know in python:,Which library have you used before?,"Do you have your own personnal computer for pratice, assignment and exam?"
2022/09/05 5:10:36 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:10:37 PM UTC+6,"No, but I know another programming language",I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:10:42 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:10:44 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 5:10:50 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:10:51 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:10:52 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 5:10:53 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 5:10:54 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Install a library,I never used any libraries,Yes
2022/09/05 5:11:02 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:11:03 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script,Numpy,Yes
2022/09/05 5:11:06 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,Matplotlib,Yes
2022/09/05 5:11:09 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:11:10 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 5:11:17 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:11:24 PM UTC+6,Yes,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:11:28 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:11:33 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:11:35 PM UTC+6,Yes,Use loops,I never used any libraries,Yes
2022/09/05 5:11:38 PM UTC+6,Yes,I don't know how to use python;Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy;Pprint,Yes
2022/09/05 5:11:41 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Read the documentation a of library,Numpy,Yes
2022/09/05 5:11:42 PM UTC+6,"No, but I know another programming language",Create a python script;Open and save files;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:11:44 PM UTC+6,Yes,Create a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,I never used any libraries,Yes
2022/09/05 5:11:45 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create a use functions;Open and save files;Install a library,Numpy,Yes
2022/09/05 5:11:53 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:12:02 PM UTC+6,Yes,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:12:04 PM UTC+6,"No, but I know another programming language",I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:12:16 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:12:23 PM UTC+6,Yes,I don't know how to use python;Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries,I never used any libraries,Yes
2022/09/05 5:12:33 PM UTC+6,Yes,Create and use list;Use loops;Create a use functions,I never used any libraries,Yes
2022/09/05 5:12:37 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 5:12:53 PM UTC+6,Yes,Create a python script;Run a python script;Create a use functions;Open and save files;Install a library,I never used any libraries,Yes
2022/09/05 5:12:54 PM UTC+6,Yes,Create a use functions;Open and save files;Install a library;Import a library in a script,I never used any libraries,Yes
2022/09/05 5:13:04 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions,I never used any libraries,Yes
2022/09/05 5:13:08 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 5:13:30 PM UTC+6,"No, but I know another programming language",I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:13:43 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:13:47 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions,I never used any libraries,Yes
2022/09/05 5:14:24 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 5:14:29 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,Numpy;Matplotlib,Yes
2022/09/05 5:14:42 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 5:14:49 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:15:18 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:15:21 PM UTC+6,No,I don't know how to use python;Install a library,I never used any libraries,Yes
2022/09/05 5:15:25 PM UTC+6,"No, but I know another programming language",I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:16:04 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Matplotlib,Yes
2022/09/05 5:16:08 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy;Pandas;SciPy,Yes
2022/09/05 5:16:49 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 5:17:29 PM UTC+6,"No, but I know another programming language",I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:18:54 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 5:28:25 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:31:02 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:31:58 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,Numpy,Yes
2022/09/05 6:11:29 PM UTC+6,Yes,Use loops;Create a use functions;Install a library;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 6:23:26 PM UTC+6,Yes,Create and use variables;Use loops,I never used any libraries,Yes
2022/09/05 6:35:48 PM UTC+6,Yes,Create a python script;Run a python script;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 6:39:30 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,I never used any libraries,Yes
2022/09/05 7:03:20 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions,I never used any libraries,Yes
2022/09/05 7:26:31 PM UTC+6,Yes,Run a python script;Create and use a Jupyter Notebook;Create and use list;Use loops;Install a library,Numpy;Pandas;Matplotlib,Yes
2022/09/05 7:42:24 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script,Numpy,Yes
2022/09/05 7:58:39 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 8:09:45 PM UTC+6,"No, but I know another programming language",I don't know how to use python,I never used any libraries,Yes
2022/09/05 8:13:45 PM UTC+6,Yes,Create a python script;Run a python script;Create a use functions,I never used any libraries,Yes
2022/09/05 8:36:40 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 8:45:37 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 9:10:54 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy;Pandas;Matplotlib;TensorFlow,Yes
2022/09/05 9:13:28 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,Numpy,Yes
2022/09/05 9:25:23 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions,I never used any libraries,Yes
2022/09/05 9:58:42 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,I never used any libraries,Yes
2022/09/05 10:09:51 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 10:23:34 PM UTC+6,Yes,Create a python script;Run a python script;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,Numpy,Yes
2022/09/05 11:03:21 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy;Pandas,Yes
2022/09/06 12:00:17 AM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script,Numpy,Yes
2022/09/06 1:00:44 AM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,Numpy,Yes
2022/09/06 1:27:10 AM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/06 8:17:50 AM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script,I never used any libraries,Yes
